Country,Name,url
Uruguay,Sebastián Coates,/player/197655/sebasti%C3%A1n-coates/
Italy,Simone Verdi,/player/196889/simone-verdi/
Ukraine,Andriy Yarmolenko,/player/194794/andriy-yarmolenko/
Brazil,Neto,/player/194404/neto/
Germany,Daniel Didavi,/player/193886/daniel-didavi/
Morocco,Younès Belhanda,/player/193738/youn%C3%A8s-belhanda/
Chile,Gary Medel,/player/193532/gary-medel/
Russia,Mário Fernandes,/player/193525/m%C3%A1rio-fernandes/
Mexico,Jesús Corona,/player/193165/jes%C3%BAs-corona/
Italy,Stephan El Shaarawy,/player/190813/stephan-el-shaarawy/
Spain,Illarramendi,/player/190584/illarramendi/
England,Nathaniel Clyne,/player/190456/nathaniel-clyne/
England,Chris Smalling,/player/189881/chris-smalling/
Spain,Iborra,/player/189560/iborra/
England,Jack Wilshere,/player/189461/jack-wilshere/
Germany,Sebastian Rudy,/player/189251/sebastian-rudy/
Switzerland,Roman Bürki,/player/189117/roman-b%C3%BCrki/
Argentina,Manuel Lanzini,/player/188988/manuel-lanzini/
Kenya,Victor Wanyama,/player/188942/victor-wanyama/
Algeria,Ryad Boudebouz,/player/188388/ryad-boudebouz/
Spain,Camacho,/player/188005/camacho/
Russia,Fedor Smolov,/player/187491/fedor-smolov/
Germany,Lars Stindl,/player/187072/lars-stindl/
Serbia,Aleksandar Kolarov,/player/185103/aleksandar-kolarov/
Iceland,Gylfi Sigurðsson,/player/184484/gylfi-sigur%C3%B0sson/
Austria,Marko Arnautović,/player/184200/marko-arnautovi%C4%87/
Argentina,Diego Perotti,/player/183900/diego-perotti/
England,Jordan Henderson,/player/183711/jordan-henderson/
Italy,Marco Parolo,/player/183498/marco-parolo/
France,Adil Rami,/player/183280/adil-rami/
Uruguay,Fernando Muslera,/player/182494/fernando-muslera/
Brazil,Marcelo,/player/180334/marcelo/
Republic of Ireland,Séamus Coleman,/player/180216/s%C3%A9amus-coleman/
Spain,Beñat,/player/177600/be%C3%B1at/
France,Mathieu Valbuena,/player/177326/mathieu-valbuena/
Ghana,Kevin-Prince Boateng,/player/173909/kevin-prince-boateng/
Spain,Marcano,/player/173521/marcano/
Italy,Antonio Candreva,/player/173221/antonio-candreva/
Italy,Domenico Criscito,/player/173208/domenico-criscito/
Italy,Davide Astori,/player/173198/davide-astori/
Denmark,Daniel Wass,/player/172522/daniel-wass/
Mexico,Andrés Guardado,/player/171897/andr%C3%A9s-guardado/
England,Daniel Sturridge,/player/171833/daniel-sturridge/
England,Danny Rose,/player/169595/danny-rose/
Mexico,Carlos Vela,/player/169416/carlos-vela/
Slovakia,Martin Škrtel,/player/166706/martin-%C5%A1krtel/
England,Tom Heaton,/player/163264/tom-heaton/
France,Loïc Perrin,/player/159147/lo%C3%AFc-perrin/
Portugal,Manuel Fernandes,/player/157960/manuel-fernandes/
France,André-Pierre Gignac,/player/153244/andr%C3%A9-pierre-gignac/
Germany,Mario Gómez,/player/150418/mario-g%C3%B3mez/
Spain,Gabi,/player/146954/gabi/
Brazil,Raffael,/player/144622/raffael/
Turkey,Arda Turan,/player/143745/arda-turan/
